participant,age,country,gender,ParentsEdu,income,nativelanguage,lingualAbility,ethnicity_value,major_relabel,acc_typing,n_wrong,inhibition_numerical,n_fluency,median_typing,average_ds,mean_vpt,automatic_Stroop,distance_effect_large,distance_effect_intermediate,inhibition_size,n_correct,interference_effect,size_effect,distraction_effect
10010,21.429223396931324,Malaysia,Female,No,"Less than RM 2,500",Mandarin,No,Chinese,Arts_communication,98.38709677419357,4,-0.00489128787878789,39,1.3334,7.5,10,-0.00489128787878789,-0.08106666666666662,-0.0052695652173913,-0.002,275,0.25566011848090553,0.26011397439966166,0.2353254919593737
10011,22.298723082807314,Malaysia,Female,No,"RM 2,500 - RM 3,169",Mandarin,Yes,Chinese,Arts_communication,96.7741935483871,2,0.03720000000000001,44,1.06585,8.5,9,0.03720000000000001,-0.0258708333333334,0.00392499999999995,0.07982608695652166,277,0.23220221584984355,0.24342708268168067,0.20603196952301417
10012,22.91019299303495,Malaysia,Female,No,"RM 15,039 or more",Mandarin,Yes,Kadazandusun,Arts_communication,3.225806451612903,3,0.1467761363636363,25,4.2074,6.5,8.333333333333334,0.1467761363636363,-0.1170405303030303,-0.05648636363636361,0.23063409090909093,271,0.17028158927403525,0.18472235537640255,0.1950289791916331
10013,21.166226297025126,Malaysia,Female,No,"Less than RM 2,500",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,NA,93.5483870967742,3,0.02360916666666668,21,1.5856,6.5,4,0.02360916666666668,-0.29322198142414857,-0.19022838874680303,0.03175833333333333,192,0.3894168208029596,0.08906200607902726,0.8798818806588851
10015,19.523250034033012,Malaysia,Male,"Yes, both parents","Less than RM 2,500",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Kadazandusun,Law,95.16129032258064,3,-0.09465871212121212,12,5.1402,7.5,6.333333333333333,-0.09465871212121212,-0.03312857142857139,-0.15198500000000004,0.06846666666666668,258,0.8891442864030861,0.3640186085700527,0.01397958446251124
10016,22.687276194957793,Malaysia,Female,"Yes, both parents","RM 2,500 - RM 3,169",Mandarin,Yes,Chinese,Arts_communication,93.5483870967742,3,0.03876818181818187,40,1.4666,7,8.333333333333334,0.03876818181818187,0.0807065217391304,0.07441363636363629,0.03356956521739129,264,0.1072637428243398,0.10340906115417736,0.2298822906474819
10017,22.75966696713312,Malaysia,Female,No,"RM 2,500 - RM 3,169",Mandarin,Yes,Chinese,Arts_communication,98.38709677419357,4,-0.07943257567045459,20,13.2311,6,5.333333333333333,-0.07943257567045459,-0.17238586952355073,-0.0495434781304348,0.02961369052976187,263,1.1991955091971644,1.05015746114052,0.6760670159811832
10018,22.41641873491647,Malaysia,Female,"Yes, both parents","RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,Arts_communication,93.5483870967742,5,0.04431428571428575,43,1.07455,8.5,10,0.04431428571428575,-0.07549875776397513,0.01797261904761904,0.04932142857142851,268,0.23204395433027017,0.18078358208955236,0.20689530283612867
10019,20.354784353024307,Malaysia,Female,"Yes, father only","RM 5,880 - RM 7,099",Mandarin,Yes,Chinese,Arts_communication,98.38709677419357,6,0.13725454545454552,17,1.3843,6,9.666666666666666,0.13725454545454552,-0.15895652173913044,-0.10832371541501971,0.04321022727272727,275,1.5133659788359792,2.6891978502594514,0.8417116641980531
10020,22.490426133609652,Malaysia,Female,No,"RM 4,850 - RM 5,879",Mandarin,Yes,Chinese,Arts_communication,4.838709677419355,2,0.07360416666666658,27,10.6752,6.5,7.333333333333333,0.07360416666666658,-0.2462527173913044,0.07977228260869562,0.1336429347826087,256,0.6875884806477335,0.8986649999999998,0.4422760215316859
10021,21.674542989612643,Malaysia,Female,No,"Less than RM 2,500",Mandarin,Yes,Chinese,Psychology,96.7741935483871,2,-2.9166666666669006e-4,36,1.375,8,9.333333333333334,-2.9166666666669006e-4,-0.08220833333333333,-0.05312499999999998,0.04779166666666668,281,0.8960998480243163,0.8602880737663388,0.7174248150775153
10022,21.42872768882932,Malaysia,Male,"Yes, both parents","RM 3,170 - RM 3,969",Mandarin,Yes,Chinese,-,93.5483870967742,2,0.05770770750988141,29,1.5147,6,6.333333333333333,0.05770770750988141,-0.02384666666666668,-0.05029739130434785,0.17864311594202897,171,0.08114947973713016,0.3818339080459772,0.20930591397849496
10023,22.261165859571072,Malaysia,NA,NA,NA,NA,NA,NA,NA,87.09677419354838,1,-0.02968655462184866,9,1.4484499999999998,7.5,6.333333333333333,-0.02968655462184866,0.0100533333333333,0.01335541666666667,0.02477777777777778,68,0.8468152777777779,0.1037839826839828,0.8247544650751548
10024,24.44316807602606,Malaysia,Female,"Yes, both parents","RM 4,850 - RM 5,879",Mandarin,Yes,Chinese,NA,83.87096774193549,5,0.08516488095238095,21,2.0812999999999997,5,9.666666666666666,0.08516488095238095,-0.03489169960474303,-0.0370159420289855,0.0327803571428571,277,0.11308837973099783,0.11053041914294635,0.1505765745568299
10025,23.717855037550382,Malaysia,Female,No,"RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,Psychology,95.16129032258064,4,0.04775113636363626,27,1.1327,6,9.666666666666666,0.04775113636363626,-0.12093913043478266,-0.04260326086956523,0.10376893939393944,275,0.6379118344447972,0.5675374603174603,0.4034413676299353
10026,28.688176923245113,Malaysia,Female,"Yes, both parents","RM 5,880 - RM 7,099",Bahasa Malaysia (Northern/Central/Southern accent),Yes,Malay,Psychology,96.7741935483871,3,0.1025682971014492,31,1.3072,7.5,8.333333333333334,0.1025682971014492,0.00492282608695648,-0.02670634057971022,-0.15747789855072458,271,0.8068609597995424,0.7166417855975598,0.4611961131127851
10027,21.57008730175932,Malaysia,Male,No,"RM 3,170 - RM 3,969",English,Yes,Chinese,Arts_communication,96.7741935483871,6,0.06202537878787878,29,1.20105,5.5,10,0.06202537878787878,-0.07766428571428574,-0.0313101190476191,0.02995928853754942,262,0.6321451501895596,0.43879809934701486,0.6347489969000408
10028,21.671775458938576,Malaysia,Female,No,"RM 2,500 - RM 3,169",Mandarin,Yes,Chinese,Arts_communication,96.7741935483871,4,0.1286936589981884,34,1.5332999995,9,8.333333333333334,0.1286936589981884,-0.05976105085326089,-0.01485688422826081,-0.01038478303623191,273,0.14726534780442968,0.14398650809948466,0.19743595963203076
10029,18.787127745772807,Malaysia,Male,"Yes, both parents","RM 3,970 - RM 4,849",Mandarin,Yes,Chinese,Computer_sc,93.5483870967742,7,0.12117500000000005,32,1.27225,8,9.666666666666666,0.12117500000000005,-0.05306068840579703,-0.0315440217391304,0.09334760869565212,266,0.16961931760312332,0.15744774682970997,0.32319430995475107
10030,22.857356557311075,Malaysia,Female,No,"RM 3,970 - RM 4,849",Mandarin,Yes,Chinese,Pharmacy,98.38709677419357,3,0.23215670289855103,26,2.5438,8,8,0.23215670289855103,0.03261141304347825,-0.11916358695652174,0.11384583333333333,279,0.0930082836587871,0.09593462843046564,0.28454479445015424
10031,23.998745155430075,Malaysia,NA,NA,NA,NA,NA,NA,NA,96.7741935483871,2,0.10425579710144928,21,1.2828499999999998,5.5,7.666666666666667,0.10425579710144928,-0.05610189393939402,-0.03606439393939398,0.12644431818181823,275,1.3340144339722544,1.3086408802369869,1.0550301312586008
10032,27.898812693772665,Malaysia,NA,NA,NA,NA,NA,NA,NA,96.7741935483871,2,0.1871261904761905,22,1.7328,5,7.333333333333333,0.1871261904761905,-0.08757559523809533,-0.01893392857142872,0.03367101449275367,268,2.070505503565062,1.6725332664884132,1.0518372792309414
134423588053,20.771754883958227,Malaysia,Female,No,"RM 4,850 - RM 5,879",Mandarin,Yes,Chinese,Computer_sc,98.38709677419357,2,0.04432202380952388,46,1.1714,6.5,7.333333333333333,0.04432202380952388,-0.0391686594202898,-0.03077509881422924,0.08372083333333336,286,0.38694685314685306,0.3345944444444445,0.24137902097902109
176876591960,22.050417361396303,Malaysia,Non-binary/ third gender,"Yes, mother only","RM 3,970 - RM 4,849",English,Yes,Chinese,Psychology,96.7741935483871,2,0.09357142857142864,53,1.2221,6.5,9.333333333333334,0.09357142857142864,-0.03712499999999996,0.02844545454545455,0.0084600790513834,275,0.03938075539568353,0.02847604739737619,0.11119349206349204
181625310168,22.049352299889723,Malaysia,Male,No,"RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Engineering,100,1,0.04409583333333339,54,1.0156,9,10,0.04409583333333339,-0.03984166666666666,0.03194583333333334,0.16413949275362316,278,0.10631332505047364,0.06301946989698193,0.0711978417266187
191352558881,21.9811737114356,Malaysia,Female,"Yes, both parents","RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,Computer_sc,98.38709677419357,3,0.07119166666666665,37,1.0015,7.5,9.666666666666666,0.07119166666666665,-0.13154166666666667,-0.06316105072463762,0.06929166666666664,268,0.5950561051693406,0.660414224450014,0.4990108096060624
230068048695,21.788975897153136,Malaysia,Male,"Yes, both parents","RM 8,700 - RM 10,959",English,Yes,Chinese,Biotechnology,100,1,0.07988250000000008,41,1.17395,9,10,0.07988250000000008,-0.05103478260869565,-0.01521916996047434,-0.00182976190476186,270,0.6770986984458234,0.4828195818012182,0.3094261256803563
231023528450,19.42787076618628,Malaysia,Female,"Yes, both parents","RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,Pharmacy,100,3,0.5039208333333333,31,1.3398,8,9.666666666666666,0.5039208333333333,0.3018203947368422,0.2869891447368419,0.05291333333333337,257,0.4712404242424242,0.3523428467419003,0.12310077519379849
277529272856,22.12624796134687,Malaysia,Female,"Yes, both parents","RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,Psychology,100,1,0.12434999999999996,44,1.26275,6.5,10,0.12434999999999996,-0.03084226190476191,0.1304740259740259,0.09926416666666672,257,0.1965003513873742,0.11212288864655262,0.381397972070431
294874663208,21.77299416742718,Malaysia,Female,"Yes, both parents","RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Psychology,95.16129032258064,7,0.01294861111111111,26,1.1202,5.5,9.333333333333334,0.01294861111111111,-0.16256388888888884,-0.10062638888888886,0.03374431818181817,261,1.2961686991869918,1.165880894308943,0.527115742481203
318020814820,26.50352355882577,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Mandarin,Yes,Chinese,Psychology,100,1,0.10688833333333336,52,1.18985,7,9.666666666666666,0.10688833333333336,-0.06738517786561271,-0.02161996047430836,0.03784166666666666,274,0.10515615942028989,0.14796495735607673,0.1413721183053558
392002593306,22.78906164467513,Malaysia,Female,No,"RM 3,970 - RM 4,849",Mandarin,Yes,Chinese,Engineering,100,2,0.09155795454545455,43,1.2637,6.5,9.666666666666666,0.09155795454545455,-0.05940871212121212,-0.05670454545454539,0.08117246376811593,268,0.20990257981835425,0.22449404682274257,0.1947328543581177
414654074748,24.44501841223667,Malaysia,Female,NA,"RM 3,170 - RM 3,969",Mandarin,Yes,Chinese,Engineering,100,1,0.1419346014492755,26,1.6521,6.5,9.666666666666666,0.1419346014492755,-0.1530445652173913,-0.12980289855072458,0.03800833333333331,283,2.3000538307861356,2.4723771978021976,0.5795934322245531
458214205270,20.46475200791569,Malaysia,Male,"Yes, father only","RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Engineering,100,2,0.11066340579710145,49,1.2304,6.5,10,0.11066340579710145,-0.08447771739130439,-0.07550271739130432,0.04619583333333338,280,0.13449665799275468,0.11569648692810452,0.10033117247715784
483748594322,19.83863674902401,Malaysia,Female,"Yes, both parents","RM 15,039 or more",English,Yes,Chinese,Arts_communication,100,1,0.16730454545454543,22,1.46605,7,9.666666666666666,0.16730454545454543,-0.04208260869565217,0.1319086956521739,0.08921177536231883,269,0.9731502710476824,0.6460026819287767,0.5493343397478432
484025127976,23.38527239080285,Malaysia,Male,No,"RM 2,500 - RM 3,169",Mandarin,Yes,Chinese,NA,98.38709677419357,2,0.08968750000000003,49,1.2531,9,10,0.08968750000000003,-0.07527916666666667,-0.06131159420289855,0.07139166666666674,272,0.2654338235294118,0.1926686350854424,0.1602558823529412
501104472111,24.491569485480525,Malaysia,Female,"Yes, both parents","RM 8,700 - RM 10,959",Mandarin,Yes,Chinese,NA,100,5,0.03620000000000001,33,1.2822,8.5,10,0.03620000000000001,-0.03980416666666675,-7.91666666666746e-4,0.06996666666666668,274,0.4678330486307585,0.5166273688143919,0.28482528784648187
517308643925,25.710628474757268,Malaysia,Female,"Yes, father only","RM 10,960 - RM 15,039",Tamil,Yes,Indian,Arts_communication,100,2,0.1955128787878788,37,1.366,8,8.666666666666666,0.1955128787878788,-0.11887210144927528,-0.02891557971014491,0.17647196969696977,275,0.3695598963292075,0.31841312169312186,0.21710726993540197
560520040965,19.709773543457047,Malaysia,Male,"Yes, father only","RM 10,960 - RM 15,039",Mandarin,Yes,Chinese,Engineering,98.38709677419357,3,0.0973677536231884,33,1.0051,6.5,9.666666666666666,0.0973677536231884,-0.07005217391304347,-0.0322855072463768,0.03384204545454544,256,0.6314039589442816,0.31581491533712325,0.33789770002446784
582545690541,23.292855675938604,Malaysia,Female,"Yes, father only","RM 3,970 - RM 4,849",Mandarin,Yes,Chinese,Psychology,100,1,0.07070833333333326,42,1.50785,9,9.666666666666666,0.07070833333333326,-0.05485416666666665,-0.04351666666666665,-0.01165452898550734,277,0.09214364888842508,0.05957383411580597,0.20766407407407417
651964771235,19.514667356041013,Malaysia,Female,"Yes, both parents","RM 15,039 or more",English,Yes,Mixed,Psychology,100,1,0.08378333333333332,31,1.3852,4.5,6.333333333333333,0.08378333333333332,-0.13324642857142863,-0.13629415584415594,0.05266818181818189,230,-0.02736333333333318,-0.04391677913412684,0.3319408282231813
675296385237,23.29236529675894,Malaysia,Male,No,"RM 7,110 - RM 8,699",English,Yes,Chinese,NA,100,2,0.05369855072463769,36,1.2572,8,9.333333333333334,0.05369855072463769,-0.11658484848484851,-0.04974318181818182,0.07646648550724638,134,0.7274820855614972,0.47456604278074854,0.23893206243032328
678536750213,21.51050712018658,Malaysia,Female,"Yes, both parents","RM 15,039 or more",Mandarin,Yes,Chinese,Finance,100,1,-0.38131666666666664,45,1.51675,6.5,9.666666666666666,-0.38131666666666664,-0.3733356209150327,0.6059743055555555,-0.01833242753623187,277,0.438827825860271,0.3651809925972265,0.2406599395077178
692323212348,20.565307050219285,Malaysia,Male,"Yes, both parents","RM 7,110 - RM 8,699",Mandarin,Yes,Chinese,Computer_sc,98.38709677419357,2,0.09230851449275355,46,1.3262,9,9.666666666666666,0.09230851449275355,-0.06882083333333328,-0.03777481884057965,0.1055410714285715,282,0.24688621730382287,0.2142732293762576,0.15811699954721525
