participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10010,Malaysia,magnitude,2 | 7,5,TRUE,incongruent,0.6113,-0.2137456042102198
10010,Malaysia,magnitude,9 | 4,5,TRUE,incongruent,0.5611,-0.25095973129654275
10010,Malaysia,magnitude,3 | 8,5,TRUE,congruent,0.4647,-0.33282732752113153
10010,Malaysia,magnitude,7 | 9,2,TRUE,incongruent,0.6782,-0.1686422145579325
10010,Malaysia,magnitude,7 | 2,5,TRUE,incongruent,0.5338,-0.2726214305485111
10010,Malaysia,magnitude,2 | 1,1,TRUE,congruent,0.6459,-0.18983471545685035
10010,Malaysia,magnitude,1 | 2,1,TRUE,congruent,0.6197,-0.20781850385032116
10010,Malaysia,magnitude,1 | 6,5,TRUE,neutral,0.6097,-0.21488380497807996
10010,Malaysia,magnitude,8 | 9,1,TRUE,incongruent,0.6775,-0.16909070045355667
10010,Malaysia,magnitude,7 | 2,5,TRUE,congruent,0.6453,-0.190238334892875
10010,Malaysia,magnitude,7 | 2,5,TRUE,neutral,0.5445,-0.26400211590820627
10010,Malaysia,magnitude,3 | 1,2,TRUE,congruent,0.718,-0.14387555575769967
10010,Malaysia,magnitude,9 | 7,2,TRUE,congruent,0.6277,-0.20224787134928923
10010,Malaysia,magnitude,7 | 9,2,TRUE,congruent,0.6325,-0.1989394701521445
10010,Malaysia,magnitude,9 | 8,1,TRUE,congruent,0.9178,-0.037251946641359494
10010,Malaysia,magnitude,1 | 6,5,TRUE,incongruent,0.4371,-0.35941919351034746
10010,Malaysia,magnitude,3 | 8,5,TRUE,incongruent,0.6452,-0.1903056412830761
10010,Malaysia,magnitude,2 | 1,1,TRUE,neutral,0.6283,-0.2018329402840608
10010,Malaysia,magnitude,7 | 6,1,TRUE,congruent,0.5951,-0.22541004973520554
10010,Malaysia,magnitude,6 | 8,2,TRUE,congruent,0.5129,-0.28996730093424644
10010,Malaysia,magnitude,6 | 7,1,TRUE,neutral,0.6284,-0.2017638236320643
10010,Malaysia,magnitude,8 | 9,1,TRUE,congruent,0.5781,-0.23799703062488464
10010,Malaysia,magnitude,4 | 3,1,TRUE,neutral,0.7107,-0.1483136845575725
10010,Malaysia,magnitude,4 | 2,2,TRUE,neutral,0.4641,-0.33338843158097003
10010,Malaysia,magnitude,2 | 7,5,TRUE,neutral,0.4619,-0.3354520377534533
10010,Malaysia,magnitude,9 | 4,5,TRUE,neutral,0.4603,-0.33695902510602577
10010,Malaysia,magnitude,9 | 7,2,TRUE,neutral,0.7965,-0.0988142198628497
10010,Malaysia,magnitude,9 | 7,2,FALSE,incongruent,0.5132,-0.2897133522971091
10010,Malaysia,magnitude,4 | 2,2,TRUE,congruent,0.8982,-0.04662694927330402
10010,Malaysia,magnitude,7 | 9,2,TRUE,neutral,0.662,-0.17914201056030005
10010,Malaysia,magnitude,1 | 6,5,TRUE,congruent,0.5817,-0.23530093620163217
10010,Malaysia,magnitude,1 | 3,2,TRUE,congruent,0.5352,-0.2714838952402333
10010,Malaysia,magnitude,1 | 2,1,TRUE,neutral,0.5106,-0.29191918953176843
10010,Malaysia,magnitude,3 | 1,2,TRUE,incongruent,0.5957,-0.22497239990115528
10010,Malaysia,magnitude,6 | 8,2,TRUE,incongruent,0.6292,-0.20121128604875077
10010,Malaysia,magnitude,8 | 9,1,TRUE,neutral,0.5463,-0.26256879948541756
10010,Malaysia,magnitude,8 | 6,2,TRUE,congruent,0.7442,-0.12831033431448474
10010,Malaysia,magnitude,2 | 4,2,TRUE,neutral,0.6097,-0.21488380497807996
10010,Malaysia,magnitude,8 | 6,2,TRUE,neutral,0.6959,-0.15745316350498506
10010,Malaysia,magnitude,6 | 1,5,TRUE,congruent,0.5426,-0.2655202105744227
10010,Malaysia,magnitude,4 | 9,5,TRUE,incongruent,0.5483,-0.2609817541165191
10010,Malaysia,magnitude,4 | 9,5,TRUE,congruent,0.4774,-0.32111758532926427
10010,Malaysia,magnitude,6 | 1,5,TRUE,incongruent,0.5113,-0.29132420727346303
10010,Malaysia,magnitude,2 | 1,1,TRUE,incongruent,0.5367,-0.2702684047129646
10010,Malaysia,magnitude,3 | 8,5,TRUE,neutral,0.5619,-0.25034096790510024
10010,Malaysia,magnitude,6 | 7,1,TRUE,incongruent,0.6098,-0.2148125799706381
10010,Malaysia,magnitude,2 | 4,2,TRUE,incongruent,0.5784,-0.23777171571352557
10010,Malaysia,magnitude,4 | 3,1,TRUE,incongruent,0.8149,-0.08889568219596404
10010,Malaysia,magnitude,8 | 3,5,TRUE,congruent,0.4811,-0.3177646430974358
10010,Malaysia,magnitude,7 | 6,1,FALSE,incongruent,0.4445,-0.3521282346937675
10010,Malaysia,magnitude,6 | 7,1,TRUE,congruent,0.7958,-0.09919606518963053
10010,Malaysia,magnitude,4 | 2,2,TRUE,incongruent,0.5115,-0.2911543619518211
10010,Malaysia,magnitude,3 | 4,1,TRUE,neutral,0.5639,-0.24879790541164687
10010,Malaysia,magnitude,9 | 4,5,TRUE,congruent,0.602,-0.22040350874217546
10010,Malaysia,magnitude,1 | 3,2,TRUE,incongruent,0.553,-0.2572748686953017
10010,Malaysia,magnitude,3 | 1,2,TRUE,neutral,0.5322,-0.27392512978462996
10010,Malaysia,magnitude,1 | 3,2,TRUE,neutral,0.5342,-0.27229611631464595
10010,Malaysia,magnitude,9 | 8,1,TRUE,incongruent,0.6433,-0.19158644859963192
10010,Malaysia,magnitude,8 | 3,5,TRUE,neutral,0.5497,-0.25987426303426947
10010,Malaysia,magnitude,1 | 2,1,TRUE,incongruent,0.4943,-0.3060093895392232
10010,Malaysia,magnitude,7 | 6,1,TRUE,neutral,0.5841,-0.23351279376030593
10010,Malaysia,magnitude,3 | 4,1,TRUE,incongruent,0.6126,-0.2128230075294461
10010,Malaysia,magnitude,6 | 1,5,TRUE,neutral,0.5105,-0.292004253577071
10010,Malaysia,magnitude,3 | 4,1,TRUE,congruent,0.4781,-0.3204812563042106
10010,Malaysia,magnitude,2 | 4,2,TRUE,congruent,0.5184,-0.2853350071374631
10010,Malaysia,magnitude,8 | 6,2,TRUE,incongruent,0.8607,-0.06514819703433915
10010,Malaysia,magnitude,4 | 3,1,TRUE,congruent,0.6116,-0.21353252325971747
10010,Malaysia,magnitude,8 | 3,5,TRUE,incongruent,0.6783,-0.16857818293497784
10010,Malaysia,magnitude,6 | 8,2,TRUE,neutral,0.5287,-0.2767906895948886
10010,Malaysia,magnitude,4 | 9,5,TRUE,neutral,0.7784,-0.10879717273970452
10010,Malaysia,magnitude,9 | 8,1,TRUE,neutral,0.7348,-0.1338308523662293
10010,Malaysia,magnitude,2 | 7,5,TRUE,congruent,0.4267,-0.3698773571406879
10011,Malaysia,magnitude,2 | 7,5,TRUE,congruent,0.4948,-0.30557030904291693
10011,Malaysia,magnitude,9 | 7,2,TRUE,congruent,0.6575,-0.18210424283820453
10011,Malaysia,magnitude,3 | 1,2,TRUE,neutral,0.608,-0.21609642072726507
10011,Malaysia,magnitude,8 | 9,1,TRUE,incongruent,0.6199,-0.20767836364842648
10011,Malaysia,magnitude,2 | 7,5,TRUE,neutral,0.5976,-0.22358941119265763
10011,Malaysia,magnitude,9 | 8,1,TRUE,congruent,0.4845,-0.3147062186132159
10011,Malaysia,magnitude,3 | 8,5,TRUE,incongruent,0.4598,-0.33743103306673977
10011,Malaysia,magnitude,2 | 4,2,TRUE,congruent,0.4728,-0.32532253212680107
10011,Malaysia,magnitude,8 | 3,5,TRUE,congruent,0.4249,-0.37171326891048556
10011,Malaysia,magnitude,7 | 2,5,TRUE,incongruent,0.7098,-0.148864004988426
10011,Malaysia,magnitude,9 | 8,1,TRUE,neutral,0.5511,-0.25876958897452923
10011,Malaysia,magnitude,3 | 8,5,TRUE,congruent,0.4884,-0.31122434472715516
10011,Malaysia,magnitude,4 | 2,2,TRUE,neutral,0.4168,-0.38007228970853196
10011,Malaysia,magnitude,3 | 4,1,TRUE,neutral,0.4646,-0.3329207945357833
10011,Malaysia,magnitude,7 | 9,2,TRUE,neutral,0.5792,-0.2371714468109095
10011,Malaysia,magnitude,1 | 2,1,TRUE,neutral,0.6046,-0.21853185715820167
10011,Malaysia,magnitude,6 | 1,5,TRUE,incongruent,0.4319,-0.36461679595250146
10011,Malaysia,magnitude,4 | 9,5,TRUE,incongruent,0.504,-0.2975694635544747
10011,Malaysia,magnitude,8 | 3,5,TRUE,incongruent,0.5012,-0.29998893767788765
10011,Malaysia,magnitude,2 | 1,1,TRUE,neutral,0.543,-0.265200170411153
10011,Malaysia,magnitude,6 | 1,5,TRUE,neutral,0.5006,-0.30050915472779555
10011,Malaysia,magnitude,2 | 7,5,TRUE,incongruent,0.4772,-0.3212995650016957
