participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10010,Malaysia,physical,7 | 9,2,TRUE,incongruent,0.7946,-0.09985143928065596
10010,Malaysia,physical,6 | 1,5,TRUE,congruent,0.6618,-0.17927323717616572
10010,Malaysia,physical,4 | 2,2,TRUE,congruent,0.4779,-0.3206629694792061
10010,Malaysia,physical,2 | 4,2,TRUE,incongruent,0.4954,-0.3050439977501818
10010,Malaysia,physical,3 | 1,2,TRUE,congruent,1.0452,0.01919940105528799
10010,Malaysia,physical,9 | 7,2,TRUE,congruent,0.8689,-0.06103020277710976
10010,Malaysia,physical,4 | 9,5,TRUE,incongruent,0.9291,-0.03193753992355078
10010,Malaysia,physical,4 | 3,1,TRUE,congruent,0.7811,-0.10729336219433445
10010,Malaysia,physical,9 | 4,5,TRUE,congruent,0.4946,-0.3057458879747215
10010,Malaysia,physical,8 | 3,5,TRUE,incongruent,0.4958,-0.30469347756819737
10010,Malaysia,physical,4 | 9,5,TRUE,congruent,0.5483,-0.2609817541165191
10010,Malaysia,physical,7 | 2,5,TRUE,incongruent,0.7128,-0.14703230897118164
10010,Malaysia,physical,1 | 2,1,TRUE,congruent,0.566,-0.24718356881172862
10010,Malaysia,physical,4 | 2,2,TRUE,incongruent,1.0025,0.001084381292219893
10010,Malaysia,physical,9 | 8,1,TRUE,congruent,0.5956,-0.22504531091986146
10010,Malaysia,physical,8 | 9,1,TRUE,incongruent,0.6852,-0.1641826457065271
10010,Malaysia,physical,2 | 7,5,TRUE,congruent,0.545,-0.2636034977233575
10010,Malaysia,physical,1 | 3,2,TRUE,congruent,0.5956,-0.22504531091986146
10010,Malaysia,physical,6 | 7,1,TRUE,incongruent,0.5956,-0.22504531091986146
10010,Malaysia,physical,9 | 7,2,TRUE,incongruent,0.5618,-0.25041826513444077
10010,Malaysia,physical,3 | 8,5,TRUE,congruent,0.5618,-0.25041826513444077
10010,Malaysia,physical,1 | 6,5,TRUE,congruent,0.4965,-0.3040807471686
10010,Malaysia,physical,3 | 4,1,TRUE,congruent,0.5507,-0.2590849235187175
10010,Malaysia,physical,9 | 8,1,TRUE,incongruent,0.6303,-0.200452692874385
