variable,n,min,max,median,iqr,mean,sd,se,ci
age,214,17.383,40.146,20.344,2.221,20.954,2.745,0.188,0.37
mean_typing,223,0.988,25.579,1.483,0.28,1.738,2.013,0.135,0.266
acc_typing,223,3.226,100,98.387,4.839,96.34,9.231,0.618,1.218
mean_fluency,223,1.544,9.857,2.796,1.051,2.887,0.899,0.06,0.119
acc_fluency,223,15,93.333,45,21.667,48.057,16.539,1.108,2.183
mean_egner,219,2.667,8.667,6,1.667,6.146,1.285,0.087,0.171
mean_wais,219,2.333,8.667,6,1.833,5.997,1.366,0.092,0.182
mean_vpt,222,2.333,10,9.333,2,8.625,1.399,0.094,0.185
mean_rt__P_0,220,0.397,1.174,0.543,0.105,0.569,0.102,0.007,0.014
mean_rt__P_1,220,0.407,1.08,0.569,0.123,0.587,0.109,0.007,0.014
mean_rt__P_2,220,0.39,1.573,0.57,0.132,0.594,0.129,0.009,0.017
mean_rt__P_5,220,0.418,1.191,0.566,0.129,0.592,0.113,0.008,0.015
acc__P_0,220,66.667,100,100,0,98.542,3.778,0.255,0.502
acc__P_1,220,50,100,100,6.25,97.102,5.832,0.393,0.775
acc__P_2,220,56.25,100,100,6.25,97.131,6.216,0.419,0.826
acc__P_5,220,50,100,100,6.25,96.534,6.629,0.447,0.881
mean_rt__P_congruent,220,0.397,1.241,0.536,0.12,0.56,0.106,0.007,0.014
mean_rt__P_incongruent,220,0.43,1.188,0.602,0.133,0.622,0.119,0.008,0.016
mean_rt__P_neutral,220,0.397,1.174,0.543,0.105,0.569,0.102,0.007,0.014
acc__P_congruent,220,75,100,100,0,98.958,2.996,0.202,0.398
acc__P_incongruent,220,8.333,100,95.833,8.333,94.886,9.674,0.652,1.285
acc__P_neutral,220,66.667,100,100,0,98.542,3.778,0.255,0.502
mean_rt__M_1,220,0.429,1.521,0.714,0.205,0.748,0.168,0.011,0.022
mean_rt__M_2,220,0.442,1.69,0.681,0.199,0.718,0.166,0.011,0.022
mean_rt__M_5,220,0.436,1.609,0.634,0.183,0.673,0.167,0.011,0.022
acc__M_1,220,45.833,100,95.833,8.333,91.061,12.476,0.841,1.658
acc__M_2,220,41.667,100,95.833,8.333,91.951,13.206,0.89,1.755
acc__M_5,220,37.5,100,100,4.167,93.996,13.267,0.894,1.763
mean_rt__M_congruent,220,0.421,1.192,0.633,0.174,0.662,0.137,0.009,0.018
mean_rt__M_incongruent,208,0.411,3.189,0.711,0.211,0.753,0.233,0.016,0.032
mean_rt__M_neutral,220,0.432,1.895,0.687,0.217,0.737,0.217,0.015,0.029
acc__M_congruent,220,70.833,100,100,0,98.92,2.902,0.196,0.386
acc__M_incongruent,208,4.167,100,95.833,8.333,88.401,18.19,1.261,2.487
acc__M_neutral,220,41.667,100,100,4.167,94.508,11.443,0.771,1.52
