country,variable,n,min,max,median,iqr,mean,sd,se,ci
Malaysia,age,99,17.383,28.688,20.565,2.818,21.171,2.255,0.227,0.45
Malaysia,mean_typing,99,1.033,25.579,1.411,0.33,2.001,3.001,0.302,0.599
Malaysia,acc_typing,99,3.226,100,98.387,3.226,95.797,13.631,1.37,2.719
Malaysia,mean_fluency,99,1.544,9.857,2.319,0.924,2.613,1.078,0.108,0.215
Malaysia,acc_fluency,99,15,93.333,58.333,26.667,57.34,17.889,1.798,3.568
Malaysia,mean_egner,99,3,8.667,6.667,1.833,6.478,1.388,0.14,0.277
Malaysia,mean_wais,99,2.333,8.667,6.333,2,6.354,1.407,0.141,0.281
Malaysia,mean_vpt,98,4,10,9.667,1.333,8.983,1.252,0.126,0.251
Malaysia,mean_rt__P_0,96,0.397,1.174,0.521,0.089,0.547,0.104,0.011,0.021
Malaysia,mean_rt__P_1,96,0.423,0.975,0.543,0.117,0.561,0.106,0.011,0.021
Malaysia,mean_rt__P_2,96,0.39,1.573,0.539,0.128,0.572,0.143,0.015,0.029
Malaysia,mean_rt__P_5,96,0.418,0.912,0.546,0.112,0.57,0.104,0.011,0.021
Malaysia,acc__P_0,96,75,100,100,0,98.698,3.541,0.361,0.718
Malaysia,acc__P_1,96,68.75,100,100,6.25,97.266,4.868,0.497,0.986
Malaysia,acc__P_2,96,68.75,100,100,6.25,96.354,5.783,0.59,1.172
Malaysia,acc__P_5,96,81.25,100,100,6.25,96.68,5.126,0.523,1.039
Malaysia,mean_rt__P_congruent,96,0.397,1.241,0.515,0.089,0.539,0.113,0.012,0.023
Malaysia,mean_rt__P_incongruent,96,0.43,0.946,0.577,0.121,0.597,0.112,0.011,0.023
Malaysia,mean_rt__P_neutral,96,0.397,1.174,0.521,0.089,0.547,0.104,0.011,0.021
Malaysia,acc__P_congruent,96,75,100,100,0,98.698,3.541,0.361,0.718
Malaysia,acc__P_incongruent,96,75,100,95.833,8.333,94.835,5.499,0.561,1.114
Malaysia,acc__P_neutral,96,75,100,100,0,98.698,3.541,0.361,0.718
Malaysia,mean_rt__M_1,96,0.429,1.521,0.663,0.191,0.72,0.193,0.02,0.039
Malaysia,mean_rt__M_2,96,0.442,1.69,0.627,0.184,0.692,0.191,0.02,0.039
Malaysia,mean_rt__M_5,96,0.436,1.609,0.585,0.14,0.65,0.199,0.02,0.04
Malaysia,acc__M_1,96,45.833,100,95.833,8.333,89.236,13.541,1.382,2.744
Malaysia,acc__M_2,96,45.833,100,95.833,9.375,90.234,14.15,1.444,2.867
Malaysia,acc__M_5,96,37.5,100,100,4.167,91.797,15.619,1.594,3.165
Malaysia,mean_rt__M_congruent,96,0.421,1.192,0.588,0.158,0.632,0.15,0.015,0.03
Malaysia,mean_rt__M_incongruent,89,0.411,3.189,0.648,0.141,0.734,0.315,0.033,0.066
Malaysia,mean_rt__M_neutral,96,0.432,1.835,0.638,0.238,0.722,0.254,0.026,0.052
Malaysia,acc__M_congruent,96,70.833,100,100,0,98.872,3.55,0.362,0.719
Malaysia,acc__M_incongruent,89,4.167,100,91.667,8.333,85.393,20.853,2.21,4.393
Malaysia,acc__M_neutral,96,41.667,100,100,4.167,93.229,12.743,1.301,2.582
UK,age,115,18.45,40.146,20.174,1.732,20.768,3.105,0.289,0.573
UK,mean_typing,124,0.988,2.386,1.504,0.225,1.528,0.205,0.018,0.036
