participant,nationality,gender,maritalstatus,eduLevel,ParentsEdu,income,employment,major,handedness,Medicalhistory,developmentHist,nativelanguage,lingualAbility,multilingual_1,multilingual_1_TEXT,multilingual_2,multilingual_2_TEXT,multilingual_3,multilingual_3_TEXT,multilingual_4,multilingual_4_TEXT,multilingual_5,multilingual_5_TEXT,multilingual_6,multilingual_6_TEXT,multilingual_7,multilingual_7_TEXT,multilingual_8,multilingual_8_TEXT,multilingual_9,multilingual_9_TEXT,multilingual_10,multilingual_10_TEXT,mathlanguage_1,multiplylanguage,schooltype_1,difficultiesmath,learnmultiplytable,peercomparison,peercomparison2,rateownfluency_1,dyslexia,mathanxious,examanxious,memory,ethnicity_value,major_relabel
458214205270,Malaysian,Male,Single (never married),Less than a high school diploma,"Yes, father only","RM 7,110 - RM 8,699",Student,MEng in Chemical Engineering,Right,No,No,Mandarin,Yes,70,English,70,Malay,20,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,No,No,10,No,No,Yes,No,Chinese,Engineering
119238710566,Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 10,960 - RM 15,039",Student,"Finance, Accounting and Management",Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,No,No,No,No,10,No,No,Yes,No,Indian,Finance
8740,Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, mother only",NA,Student,Chemical Engineering,Right,No,No,English,Yes,80,English,80,Mandarin,80,Malay,70,Cantonese,80,Hakka,10,Tamil,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,No,Yes,Yes,Yes,8,No,No,Yes,Yes,Chinese,Engineering
8488,Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 7,110 - RM 8,699",Student,Psychology Year One,Right,No,No,Mandarin,Yes,85,Chinese,70,English,40,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,Yes,8.5,No,No,Yes,Yes,Chinese,Psychology
8509,Malaysian,Male,Single (never married),Less than a high school diploma,"Yes, both parents","RM 5,880 - RM 7,099",Student,BSC Hons Psychology,Right,No,No,English,Yes,80,French,100,English,NA,Malay,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,No,Yes,No,Yes,5,No,Yes,Yes,Yes,Chinese,Psychology
8644,Non-Malaysian,Female,Single (never married),"Some college, no degree","Yes, both parents","RM 15,039 or more",Student,Psychology and Cognitive Neuroscience,Right,No,No,Others,Yes,80,Marathi,75,Hindi,100,English,5,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,Yes,No,7.5,No,Yes,Yes,Yes,Indian,Psychology
604128320491,Malaysian,Female,Single (never married),"Some college, no degree",No,"RM 10,960 - RM 15,039",Student,International Relations with French,Right,No,No,Mandarin,Yes,85,Mandarin,90,English,60,Cantonese,50,Bahasa Malaysia,50,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,Chinese_vernacular,Yes,Yes,No,Yes,9,No,Yes,Yes,Yes,Chinese,International_relation
134423588053,Malaysian,Female,Single (never married),"Bachelor's degree (e.g. BA, BS)",No,"RM 4,850 - RM 5,879",Student,Computer Science with Intelligent Systems,Right,No,No,Mandarin,Yes,100,Mandarin,85,English,85,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mandarin,Mandarin,public_malay,No,Yes,No,No,10,No,No,Yes,No,Chinese,Computer_sc
8617,Non-Malaysian,Female,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 15,039 or more",Student,BSc Psychology,Right,No,No,Others,Yes,95,English,80,Marathi,80,Hindi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,No,No,7,No,Yes,Yes,Yes,Indian,Psychology
8668,Non-Malaysian,Male,Single (never married),High school degree or equivalent (e.g. GED),"Yes, both parents","RM 10,960 - RM 15,039",Student,Psychology,Right,No,No,Others,Yes,100,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,private_intl,Yes,Yes,Yes,Yes,7.5,No,Yes,Yes,Yes,Indonesian,Psychology
