participant,group,n_typing,median_typing,mean_typing,acc_typing,error_rate_typing,n_fluency,n_wrong,acc_fluency,composite_fluency,median_fluency,mean_fluency,max_egner,mean_egner,max_wais,mean_wais,max_vpt,mean_vpt,mean_rt__P_0,mean_rt__P_1,mean_rt__P_2,mean_rt__P_5,acc__P_0,acc__P_1,acc__P_2,acc__P_5,mean_rt__P_congruent,mean_rt__P_incongruent,mean_rt__P_neutral,acc__P_congruent,acc__P_incongruent,acc__P_neutral,mean_rt__M_1,mean_rt__M_2,mean_rt__M_5,acc__M_1,acc__M_2,acc__M_5,mean_rt__M_congruent,mean_rt__M_incongruent,mean_rt__M_neutral,acc__M_congruent,acc__M_incongruent,acc__M_neutral,n_trial_correct,n_trial_lure,mean_rt_correct,mean_rt_lure,acc_veri,veri_performance,dob,age,Nationality,lang_mult,date,frameRate,nationality,gender,maritalstatus,eduLevel,ParentsEdu,income,employment,major,handedness,Medicalhistory,developmentHist,nativelanguage,lingualAbility,multilingual_1,multilingual_1_TEXT,multilingual_2,multilingual_2_TEXT,multilingual_3,multilingual_3_TEXT,multilingual_4,multilingual_4_TEXT,multilingual_5,multilingual_5_TEXT,multilingual_6,multilingual_6_TEXT,mathlanguage_1,multiplylanguage,schooltype_1,difficultiesmath,learnmultiplytable,peercomparison,peercomparison2,rateownfluency_1,dyslexia,mathanxious,examanxious,memory,ethnicity_value,major_relabel,country,avg_digitspan
18510,BAC,60,1.35805,1.5285616666666666,96.7741935483871,0.03225806451612905,16,5,26.666666666666668,22.5,2.76275,3.5844,8,7.333333333333333,7,6.333333333333333,9,8.333333333333334,0.4665818181818182,0.47776,0.46025625,0.5170733333333334,91.66666666666666,93.75,100,93.75,0.4376391304347826,0.5313434782608696,0.4665818181818182,95.83333333333334,95.83333333333334,91.66666666666666,0.8402136363636363,0.7089681818181818,0.7570833333333333,91.66666666666666,91.66666666666666,100,0.7697625,0.8003190476190476,0.7378695652173913,100,87.5,95.83333333333334,73,68,0.35377397260273974,0.441489705882353,48.95833333333333,0.08771573327961324,2003-03-26,20.891872518315715,UK,English,2024-02-14T18:09:16Z,60.24096386,UK,Female,Single (never married),Some University but no degree,"Yes, both parents","Less than 20,000 pounds",Student,Psychology,Right,Yes,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,Yes,No,Yes,Yes,4,No,Yes,Yes,Yes,Black/African/Caribbean,Psychology,UK,7.5
18601,CBA,62,1.149,1.1817903225806452,100,0,30,5,50,45.83333333333333,2.224,2.4899666666666667,7,6.333333333333333,7,6.333333333333333,5,4.333333333333333,0.5199166666666667,0.5602857142857143,0.5222142857142857,0.5314166666666666,100,87.5,87.5,75,0.4950869565217391,0.596764705882353,0.5199166666666667,95.83333333333334,70.83333333333334,100,0.627625,0.5796363636363636,0.499375,100,91.66666666666666,100,0.5706666666666667,0.5925217391304348,0.5424347826086956,100,95.83333333333334,95.83333333333334,132,106,1.8177121212121212,2.257801886792453,82.63888888888889,0.44008976558033175,2001-10-27,22.288159989638,UK,English,2024-02-09T18:00:37Z,62.5,UK,Female,Single (never married),Vocational or Similar,No,"Less than 20,000 pounds",Student,psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,No,Yes,No,Yes,5,No,Yes,Yes,No,White,Psychology,UK,7
18824,ACB,61,1.333,1.3816229508196722,98.38709677419357,0.01612903225806452,36,7,60,54.166666666666664,1.7075,1.8671111111111112,6,5,5,4.333333333333333,8,7.333333333333333,0.6195,0.619625,0.6375625,0.6115714285714285,100,100,100,87.5,0.556375,0.6965454545454546,0.6195,100,91.66666666666666,100,0.62825,0.662375,0.6083333333333333,100,100,100,0.5795416666666666,0.6811666666666667,0.63825,100,100,100,138,102,0.9047028985507246,1.305313725490196,83.33333333333334,0.4006108269394715,1999-09-18,24.3735594793964,UK,English,2024-02-01T10:37:20Z,58.82352941,UK,Female,Single (never married),Some University but no degree,No,"Less than 20,000 pounds",Student,Psychology with Counselling,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,Yes,Yes,No,No,9,No,Yes,Yes,Yes,White,Psychology,UK,5.5
18826,ACB,61,1.6526,1.781911475409836,98.38709677419357,0.01612903225806452,21,1,35,34.166666666666664,3.1994,4.105333333333333,5,4.666666666666667,5,4.666666666666667,10,9.333333333333334,0.4569875,0.4579625,0.5828125000000001,0.47022,100,100,100,93.75,0.43107083333333335,0.5808695652173913,0.4569875,100,95.83333333333334,100,0.63984,0.5990875,0.5069041666666667,83.33333333333334,100,100,0.5593458333333333,0.5972428571428572,0.5814869565217391,100,87.5,95.83333333333334,131,101,1.6703022900763358,2.3201584158415844,80.55555555555556,0.6498561257652486,2003-02-27,20.948601371840695,UK,English,2024-02-08T11:26:22Z,58.82352941,UK,Male,Single (never married),Completed Secondary School,"Yes, both parents","20,000-39,999 pounds",Student,psychology with counselling,Left,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,Yes,Yes,Yes,No,7,Yes,No,Yes,Yes,White,Psychology,UK,5
18876,CBA,62,1.48325,1.483206451612903,100,0,27,5,45,40.833333333333336,2.2328,2.82027037037037,6,5,5,4.333333333333333,8,7.333333333333333,0.5284083333333334,0.5776,0.5222125,0.6281375,100,100,100,100,0.5483916666666666,0.603575,0.5284083333333334,100,100,100,0.6802208333333334,0.6299826086956521,0.6109458333333333,100,95.83333333333334,100,0.6135958333333333,0.6792130434782608,0.6303916666666667,100,95.83333333333334,100,139,125,1.286759712230216,1.4781152,91.66666666666666,0.1913554877697841,2003-06-25,20.66184177573706,UK,English,2024-02-21T17:42:18Z,60.24096386,UK,Female,Single (never married),Some University but no degree,"Yes, both parents","Less than 20,000 pounds",Student,psychology with forensic investigation,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,Yes,Yes,No,No,7,No,Yes,Yes,No,White,Psychology,UK,5.5
18887,BAC,60,1.6266,1.7106833333333331,96.7741935483871,0.03225806451612905,24,5,40,35.833333333333336,2.3701,2.6721125,7,6,7,6.333333333333333,9,8.333333333333334,0.5421875,0.5888866666666667,0.5422875,0.50149375,100,93.75,100,100,0.5172208333333334,0.5704565217391304,0.5421875,100,95.83333333333334,100,0.7520142857142857,0.6904227272727272,0.6835583333333334,87.5,91.66666666666666,100,0.7256958333333333,0.70766,0.6877,100,83.33333333333334,95.83333333333334,133,108,1.650242105263158,1.8209277777777777,83.68055555555556,0.17068567251461975,2003-05-30,20.73304018654778,UK,English,2024-02-21T17:49:48Z,59.52380952,UK,Female,Single (never married),Some University but no degree,"Yes, father only","60,000-99,999 pounds",Student,psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,No,Yes,No,No,7,No,No,Yes,No,White,Psychology,UK,7
19029,BCA,62,1.4252,1.42045,100,0,28,2,46.666666666666664,45,2.2929500000000003,3.0463142857142858,8,7,7,6.666666666666667,8,7.666666666666667,0.5699458333333334,0.678775,0.635425,0.64616875,100,100,100,100,0.5594625,0.74745,0.5699458333333334,100,100,100,0.6888583333333334,0.6212166666666666,0.5837125,100,100,100,0.6226833333333334,0.6570541666666667,0.61405,100,100,100,142,132,1.910550704225352,2.7095621212121213,95.13888888888889,0.799011416986769,NA,NA,NA,NA,NA,NA,Europe,Female,Single (never married),Completed Secondary School,"Yes, father only","40,000-59,999 pounds",Employed full time (40 or more hours per week),psychology,Right,No,No,Spanish,Yes,80,english,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spanish,spanish,Private,Yes,Yes,No,No,6.5,No,Yes,Yes,No,White,Psychology,UK,7.5
19114,ABC,57,1.3161,1.355078947368421,91.93548387096774,0.08064516129032259,27,6,45,40,2.0476,2.617088888888889,7,6.333333333333333,5,4.333333333333333,10,9.333333333333334,0.5492,0.54816,0.5211,0.5557875,95.83333333333334,93.75,87.5,100,0.5200041666666667,0.5681095238095238,0.5492,100,87.5,95.83333333333334,0.5282761904761905,0.5175954545454545,0.47112608695652175,87.5,91.66666666666666,95.83333333333334,0.491,0.482821052631579,0.5373565217391304,100,79.16666666666666,95.83333333333334,135,113,1.3204192592592592,1.5498699115044248,86.11111111111111,0.2294506522451656,2003-10-08,20.35161371254468,UK,English,2024-02-13T10:14:44Z,59.17159763,UK,Male,Single (never married),Completed Secondary School,"Yes, mother only","60,000-99,999 pounds",Student,bachelors degree,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,No,Yes,No,No,8,No,No,Yes,Yes,White,Psychology,UK,6
19116,ABC,59,1.4,1.4715084745762712,95.16129032258064,0.04838709677419356,25,3,41.66666666666667,39.166666666666664,2.066,2.97072,9,8,9,8.666666666666666,9,8.666666666666666,0.590125,0.6353125,0.5365625,0.60675,100,100,100,100,0.544625,0.6411250000000001,0.590125,100,100,100,0.8860833333333333,0.7794782608695652,0.7370833333333333,100,95.83333333333334,100,0.7980833333333334,0.8541739130434782,0.7535,100,95.83333333333334,100,134,125,1.8498656716417912,2.153984,89.93055555555556,0.30411832835820873,2004-04-13,19.843413397881967,UK,English,2024-02-15T19:21:42Z,41.66666667,UK,Female,Single (never married),Vocational or Similar,"Yes, father only","60,000-99,999 pounds",Student,Psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,State,No,Yes,No,Yes,6,No,No,Yes,Yes,White,Psychology,UK,9
19124,ACB,60,1.97515,2.04734,96.7741935483871,0.03225806451612904,17,5,28.333333333333332,24.166666666666668,3.4191,3.7728882352941175,NA,NA,NA,NA,9,8.333333333333334,0.6135454545454545,0.63344375,0.6411375,0.61106,91.66666666666666,100,100,93.75,0.6593666666666667,0.5971478260869565,0.6135454545454545,100,95.83333333333334,91.66666666666666,0.6828260869565217,0.6475541666666667,0.6636625,95.83333333333334,100,100,0.6557739130434782,0.6499083333333333,0.6872333333333334,95.83333333333334,100,100,72,76,0.11745833333333332,0.343803947368421,51.388888888888886,0.22634561403508768,2003-09-22,20.402214888109363,UK,English,2024-02-15T21:48:56Z,59.88023952,UK,Male,Single (never married),Completed Secondary School,"Yes, mother only","Less than 20,000 pounds",Student,psychology,Right,No,No,English,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,English,Public,No,Yes,No,No,8.5,No,No,Yes,Yes,Mixed two or more ethnic groups,Psychology,UK,NA
