participant,age,country,gender,ParentsEdu,income,nativelanguage,lingualAbility,ethnicity_value,major_relabel,acc_typing,n_wrong,inhibition_numerical,n_fluency,median_typing,average_ds,mean_vpt,automatic_Stroop,distance_effect_large,distance_effect_intermediate,inhibition_size,n_correct,interference_effect,size_effect,distraction_effect
18510,20.891872518315715,UK,Female,"Yes, both parents","Less than 20,000 pounds",English,No,Black/African/Caribbean,Psychology,96.7741935483871,5,0.03055654761904758,16,1.35805,7.5,8.333333333333334,0.03055654761904758,-0.083130303030303,-0.13124545454545455,0.093704347826087,141,-0.07940457292506042,-0.08300910556003227,0.08771573327961324
18601,22.288159989638,UK,Female,No,"Less than 20,000 pounds",English,No,White,Psychology,100,5,0.021855072463768166,30,1.149,7,4.333333333333333,0.021855072463768166,-0.12824999999999998,-0.04798863636363637,0.10167774936061386,238,0.3386313390313389,0.8819777777777775,0.44008976558033175
18824,24.3735594793964,UK,Female,No,"Less than 20,000 pounds",English,No,White,Psychology,98.38709677419357,7,0.10162500000000008,36,1.333,5.5,7.333333333333333,0.10162500000000008,-0.019916666666666694,0.03412500000000007,0.14017045454545463,240,0.14304810901001108,0.22399951222911285,0.4006108269394715
18826,20.948601371840695,UK,Male,"Yes, both parents","20,000-39,999 pounds",English,No,White,Psychology,98.38709677419357,1,0.037897023809523867,21,1.6526,5,9.333333333333334,0.037897023809523867,-0.13293583333333325,-0.04075249999999997,0.14979873188405796,232,0.881659005042523,0.2851537990196078,0.6498561257652486
18876,20.66184177573706,UK,Female,"Yes, both parents","Less than 20,000 pounds",English,No,White,Psychology,100,5,0.0656172101449275,27,1.48325,5.5,7.333333333333333,0.0656172101449275,-0.06927500000000009,-0.05023822463768124,0.05518333333333336,264,0.41556479999999985,0.3083788458225667,0.19135548776978406
18887,20.73304018654778,UK,Female,"Yes, father only","60,000-99,999 pounds",English,No,White,Psychology,96.7741935483871,5,-0.018035833333333362,24,1.6266,7,8.333333333333334,-0.018035833333333362,-0.06845595238095237,-0.0615915584415585,0.053235688405797066,241,0.5293908801108802,0.35302545454545453,0.17068567251461975
19114,20.35161371254468,UK,Male,"Yes, mother only","60,000-99,999 pounds",English,No,White,Psychology,91.93548387096774,6,-0.008178947368421008,27,1.3161,6,9.333333333333334,-0.008178947368421008,-0.057150103519668705,-0.01068073593073593,0.04810535714285713,248,0.2052862995739102,0.2761892746761361,0.2294506522451656
19116,19.843413397881967,UK,Female,"Yes, father only","60,000-99,999 pounds",English,No,White,Psychology,95.16129032258064,3,0.05609057971014486,25,1.4,9,8.666666666666666,0.05609057971014486,-0.14900000000000002,-0.10660507246376816,0.09650000000000003,259,0.9490734311620139,0.9169980884109918,0.30411832835820873
19125,20.861359311196033,UK,Female,"Yes, father only","40,000-59,999 pounds",English,No,Mixed two or more ethnic groups,Psychology,98.38709677419357,1,0.04239963768115951,24,1.4598,5.5,8.333333333333334,0.04239963768115951,-0.1923797101449275,-0.18115887681159426,0.08111488095238095,275,1.46614659860347,1.1619375939849625,0.5395156349206349
19127,20.08744192153396,UK,Female,No,"40,000-59,999 pounds",English,No,White,Psychology,98.38709677419357,1,0.28990952380952373,33,2.3494,5.5,8.333333333333334,0.28990952380952373,-0.17539204545454545,-0.08645237154150198,0.3164373188405798,282,0.09389582494969817,0.13725886524822695,0.07193095573440655
