participant,group,max_egner,mean_egner
10010,CAB,8,7
10011,BCA,9,8
10012,CAB,7,6.333333333333333
10013,BCA,6,5.333333333333333
10014,CAB,4,3
10015,ACB,8,7
10016,BAC,7,6.666666666666667
10017,CBA,7,6
10018,BAC,9,8
10019,ACB,7,6.333333333333333
10020,BCA,4,3
10021,ABC,8,7.333333333333333
10022,BCA,7,6.333333333333333
10023,CBA,6,5.666666666666667
10024,BAC,5,4.666666666666667
10025,ABC,6,5.666666666666667
10026,BCA,8,7.666666666666667
10027,CAB,5,4.666666666666667
10028,CAB,9,8.333333333333334
10029,CBA,7,6.666666666666667
10030,BAC,8,7.666666666666667
10031,BAC,6,5.333333333333333
10032,BCA,5,4.666666666666667
119238710566,CAB,9,8
134423588053,CBA,6,5.666666666666667
176876591960,ABC,7,6.333333333333333
181625310168,BCA,9,8.666666666666666
191352558881,BCA,8,7
230068048695,CAB,9,8.666666666666666
231023528450,ACB,8,7.333333333333333
277529272856,CAB,6,5.666666666666667
294874663208,CAB,4,3.6666666666666665
318020814820,ABC,7,6.333333333333333
392002593306,BCA,7,6.666666666666667
414654074748,CAB,5,4.666666666666667
458214205270,CAB,7,6.333333333333333
483748594322,ACB,7,6.333333333333333
484025127976,BAC,9,8.333333333333334
501104472111,BCA,8,7.333333333333333
517308643925,BCA,8,7.333333333333333
560520040965,CAB,7,6.666666666666667
582545690541,BAC,9,8.666666666666666
604128320491,ABC,6,5.333333333333333
651964771235,ACB,6,5
675296385237,ACB,7,6
678536750213,BCA,7,6
692323212348,CBA,9,8.666666666666666
697608015709,BCA,9,8
730858445772,CBA,7,6.666666666666667
771719516720,BCA,7,6.333333333333333
798938289447,BCA,9,8.666666666666666
822385097411,BAC,8,7
8233,ABC,5,4.666666666666667
8242,CBA,8,7
8251,CBA,7,6.666666666666667
838440669607,CBA,7,6
848199286335,CAB,7,6
8485,BAC,4,3.6666666666666665
8488,CBA,7,6.666666666666667
8497,CBA,6,5.666666666666667
8506,CBA,8,7.666666666666667
8509,BAC,5,4.666666666666667
8515,ABC,9,8.333333333333334
8533,ABC,6,5.666666666666667
857677498017,CBA,6,5
8596,ABC,4,3.3333333333333335
8644,BCA,5,4.333333333333333
8665,BAC,7,6.333333333333333
8668,CAB,8,7.333333333333333
8761,BAC,6,5.666666666666667
8767,CAB,7,6.666666666666667
8791,CAB,6,5.333333333333333
8800,ACB,9,8.666666666666666
8803,CBA,6,5.666666666666667
8812,ABC,7,6.333333333333333
8815,ACB,8,7.666666666666667
8824,CBA,9,8.333333333333334
8827,ACB,7,6.333333333333333
8833,BAC,8,7.666666666666667
8842,CAB,8,7
8845,BCA,8,7.666666666666667
8857,CAB,8,7.333333333333333
8863,CAB,7,6
8866,BCA,9,8.333333333333334
8875,CBA,6,5.666666666666667
8896,ACB,4,3.6666666666666665
8902,CAB,9,8
8917,BCA,8,7.333333333333333
8926,CAB,6,5.333333333333333
8929,CAB,8,7
8932,CBA,9,8
8935,CAB,8,7.333333333333333
8953,CBA,7,6.666666666666667
8971,CBA,9,8.666666666666666
8986,BAC,5,4.666666666666667
916438355576,CBA,9,8
933126141410,CAB,8,7
939257332379,CAB,7,6.333333333333333
957558488938,CAB,6,5.333333333333333
