participant,group,n_fluency,n_wrong,acc_fluency,composite_fluency,median_fluency,mean_fluency
18510,BAC,16,5,26.666666666666668,22.5,2.76275,3.5844
18601,CBA,30,5,50,45.83333333333333,2.224,2.4899666666666667
18824,ACB,36,7,60,54.166666666666664,1.7075,1.8671111111111112
18826,ACB,21,1,35,34.166666666666664,3.1994,4.105333333333333
18876,CBA,27,5,45,40.833333333333336,2.2328,2.82027037037037
18887,BAC,24,5,40,35.833333333333336,2.3701,2.6721125
19029,BCA,28,2,46.666666666666664,45,2.2929500000000003,3.0463142857142858
19114,ABC,27,6,45,40,2.0476,2.617088888888889
19116,ABC,25,3,41.66666666666667,39.166666666666664,2.066,2.97072
19124,ACB,17,5,28.333333333333332,24.166666666666668,3.4191,3.7728882352941175
19125,BAC,24,1,40,39.166666666666664,2.8042499999999997,3.4396666666666667
19127,BAC,33,1,55.00000000000001,54.166666666666664,2.582,2.6526666666666667
19135,BCA,22,4,36.666666666666664,33.33333333333333,3.3766,3.560690909090909
19136,ABC,39,4,65,61.66666666666667,1.7426,1.9509076923076922
19137,BAC,19,3,31.666666666666664,29.166666666666668,3.432,3.780473684210526
19140,CAB,19,3,31.666666666666664,29.166666666666668,3.3549,3.3946894736842106
19146,CBA,15,5,25,20.833333333333336,1.8408,2.72644
19152,ACB,22,4,36.666666666666664,33.33333333333333,2.9089,3.113481818181818
19164,BAC,20,5,33.33333333333333,29.166666666666668,3.1276,3.314685
19178,BAC,30,4,50,46.666666666666664,2.5328,2.6188066666666665
19179,CAB,28,2,46.666666666666664,45,2.2975000000000003,2.9596785714285714
19180,BAC,16,8,26.666666666666668,20,2.5335,2.856
19188,CAB,26,3,43.333333333333336,40.833333333333336,2.5641499999999997,3.2121346153846155
19193,CAB,12,5,20,15.833333333333332,3.177,5.011416666666666
19196,ABC,20,1,33.33333333333333,32.5,3.035,4.3242
19199,CAB,22,3,36.666666666666664,34.166666666666664,2.65975,3.035659090909091
19205,CAB,17,4,28.333333333333332,25,3.3997,4.046141176470588
19206,BAC,29,3,48.333333333333336,45.83333333333333,2.6269,2.7949724137931033
