participant,group,n_fluency,n_wrong,acc_fluency,composite_fluency,median_fluency,mean_fluency
10010,CAB,39,4,65,61.66666666666667,1.8333,1.9281179487179487
10011,BCA,44,2,73.33333333333333,71.66666666666667,1.52405,1.7912772727272728
10012,CAB,25,3,41.66666666666667,39.166666666666664,2.8147,3.083044
10013,BCA,21,3,35,32.5,3.6207,3.917880952380952
10014,CAB,12,4,20,16.666666666666664,3.9523,5.03545
10015,ACB,12,3,20,17.5,5.79345,6.3087
10016,BAC,40,3,66.66666666666666,64.16666666666667,1.9175499999999999,2.06149
10017,CBA,20,4,33.33333333333333,30,2.2595,2.5123149999
10018,BAC,43,5,71.66666666666667,67.5,1.7547,1.868560465116279
10019,ACB,17,6,28.333333333333332,23.333333333333332,2.3179,2.4323823529411763
10020,BCA,27,2,45,43.333333333333336,2.1666,2.7807555555555554
10021,ABC,36,2,60,58.333333333333336,2.2065,2.4029166666666666
10022,BCA,29,2,48.333333333333336,46.666666666666664,2.4301,2.874351724137931
10023,CBA,9,1,15,14.166666666666666,3.65,9.8567
10024,BAC,21,5,35,30.833333333333336,2.9518,3.0881142857142856
10025,ABC,27,4,45,41.66666666666667,2.116,2.8327185185185186
10026,BCA,31,3,51.66666666666667,49.166666666666664,1.9145,2.5289483870967744
10027,CAB,29,6,48.333333333333336,43.333333333333336,2.1518,2.360010344827586
10028,CAB,34,4,56.666666666666664,53.333333333333336,2.0073499994999997,2.2173794118529413
10029,CBA,32,7,53.333333333333336,47.5,1.7657500000000002,2.12270625
10030,BAC,26,3,43.333333333333336,40.833333333333336,3.1539,3.1990115384615385
10031,BAC,21,2,35,33.33333333333333,2.454,3.922209523809524
10032,BCA,22,2,36.666666666666664,35,2.83375,3.795054545454545
119238710566,CAB,56,3,93.33333333333333,90.83333333333333,1.49875,1.5438
134423588053,CBA,46,2,76.66666666666667,75,1.69105,1.9025695652173913
176876591960,ABC,53,2,88.33333333333333,86.66666666666667,1.5324,1.6333301886792453
181625310168,BCA,54,1,90,89.16666666666667,1.50595,1.6437222222222223
191352558881,BCA,37,3,61.66666666666667,59.166666666666664,1.8322,2.113383783783784
230068048695,CAB,41,1,68.33333333333333,67.5,1.8639,2.1856439024390246
231023528450,ACB,31,3,51.66666666666667,49.166666666666664,2.1469,2.653964516129032
277529272856,CAB,44,1,73.33333333333333,72.5,1.89445,2.016652272727273
294874663208,CAB,26,7,43.333333333333336,37.5,1.9545,2.6098076923076925
318020814820,ABC,52,1,86.66666666666667,85.83333333333333,1.58965,1.7003057692307693
392002593306,BCA,43,2,71.66666666666667,70,1.7658,2.0288930232558138
