participant,group,dob,age,Nationality,lang_mult,date,frameRate
18510,BAC,2003-03-26,20.891872518315715,UK,English,2024-02-14T18:09:16Z,60.24096386
18601,CBA,2001-10-27,22.288159989638,UK,English,2024-02-09T18:00:37Z,62.5
18824,ACB,1999-09-18,24.373559479396402,UK,English,2024-02-01T10:37:20Z,58.82352941
18826,ACB,2003-02-27,20.948601371840695,UK,English,2024-02-08T11:26:22Z,58.82352941
18876,CBA,2003-06-25,20.66184177573706,UK,English,2024-02-21T17:42:18Z,60.24096386
18887,BAC,2003-05-30,20.73304018654778,UK,English,2024-02-21T17:49:48Z,59.52380952
19114,ABC,2003-10-08,20.35161371254468,UK,English,2024-02-13T10:14:44Z,59.17159763
19116,ABC,2004-04-13,19.843413397881967,UK,English,2024-02-15T19:21:42Z,41.66666667
19124,ACB,2003-09-22,20.402214888109363,UK,English,2024-02-15T21:48:56Z,59.88023952
19125,BAC,2003-03-31,20.861359311196033,UK,English,2024-02-08T14:40:32Z,59.88023952
19127,BAC,2004-01-07,20.08744192153396,UK,English,2024-02-07T22:30:57Z,59.88023952
19135,BCA,2003-09-23,20.374584468812582,UK,English,2024-02-06T19:36:26Z,59.52380952
19136,ABC,2001-09-27,22.266425887456585,UK,English,2024-01-02T19:29:21Z,120.4819277
19137,BAC,2004-05-18,19.727575345558595,UK,English,2024-02-08T11:55:31Z,13.33333333
19140,CAB,2002-08-10,21.52144300662915,UK,English,2024-02-16T16:58:09Z,59.88023952
19146,CBA,2004-07-19,19.549816411862757,UK,English,2024-02-05T13:41:26Z,60.24096386
19152,ACB,2004-01-17,20.04846444358887,UK,English,2024-02-03T16:50:21Z,60.24096386
19164,BAC,2003-02-10,21.014314728749966,UK,English,2024-02-15T11:28:58Z,58.47953216
19178,BAC,2002-11-29,21.228088189120843,UK,English,2024-02-20T13:25:15Z,61.34969325
19179,CAB,2004-03-24,19.87055197556215,UK,English,2024-02-05T17:15:31Z,90.90909091
19180,BAC,2004-01-11,20.100280655658224,UK,English,2024-02-16T15:03:36Z,58.82352941
19188,CAB,2004-04-21,19.820755661235328,UK,English,2024-02-15T12:44:38Z,59.88023952
19193,CAB,2001-11-25,22.197346267111566,UK,English,2024-02-05T13:56:14Z,63.13131313
19196,ABC,2002-12-02,21.220216107023347,UK,English,2024-02-20T16:24:51Z,60.24096386
19199,CAB,2002-01-26,22.030912891823203,UK,English,2024-02-06T18:58:56Z,60.24096386
19205,CAB,2003-09-13,20.394183476943752,UK,English,2024-02-03T23:24:44Z,59.52380952
19206,BAC,2003-04-10,20.829511289768554,UK,English,2024-02-06T23:29:45Z,59.88023952
19210,ABC,2002-12-31,21.097594202379145,UK,English,2024-02-04T21:30:38Z,59.88023952
19233,ACB,2003-12-01,20.17432351224428,UK,English,2024-02-02T16:07:11Z,59.88023952
19248,CAB,1989-05-02,34.812942352206754,UK,English,2024-02-23T10:15:09Z,60.60606061
19250,BCA,2000-11-24,23.19193832962583,UK,English,2024-02-02T20:31:53Z,59.88023952
19263,ACB,2004-07-16,19.574793528341825,UK,English,2024-02-11T16:38:24Z,59.88023952
19268,BCA,2003-06-22,20.62003343391132,UK,English,2024-02-03T11:12:47Z,62.5
19269,ACB,2004-06-29,19.61870485379117,UK,English,2024-02-10T17:34:00Z,59.88023952
19273,BAC,2003-03-04,20.92817068696605,UK,English,2024-02-06T00:20:39Z,59.17159763
19281,CAB,2003-10-21,20.302693177111056,UK,English,2024-02-08T13:24:30Z,58.82352941
19294,CAB,2003-11-18,20.22164071187289,UK,English,2024-02-06T22:54:08Z,62.5
19298,CBA,2003-09-09,20.425839935799935,UK,English,2024-02-11T12:54:46Z,56.81818182
19308,CBA,2001-01-24,23.041101994448244,UK,English,2024-02-08T18:18:00Z,57.47126437
19310,ACB,2003-10-08,20.33388536736,UK,English,2024-02-06T22:50:20Z,58.82352941
19326,ABC,1998-11-26,25.2016641545935,UK,English,2024-02-07T21:47:16Z,60.24096386
19355,BCA,2002-09-25,21.36876148816767,UK,English,2024-02-06T22:33:47Z,60.97560976
19363,ACB,2003-07-22,20.571618868164876,UK,English,2024-02-15T18:48:39Z,59.17159763
19374,BAC,2003-03-09,20.910971135130684,UK,English,2024-02-04T17:34:22Z,59.17159763
19377,CBA,2002-11-22,21.195031100527288,UK,English,2024-02-01T11:38:33Z,59.99880002
19377,ABC,2002-11-22,21.23431349548128,UK,English,2024-02-15T19:59:31Z,59.99880002
19391,ABC,2003-04-29,20.815069362625803,UK,English,2024-02-20T16:53:52Z,60.24096386
19423,ABC,1983-12-16,40.14631823573402,UK,English,2024-02-07T10:37:32Z,60.97560976
19424,CBA,1987-07-17,36.60068387222096,UK,English,2024-02-21T09:35:41Z,59.52380952
19431,BCA,2004-03-16,19.889189289204506,UK,English,2024-02-04T12:37:59Z,59.88023952
19456,CBA,2003-08-19,20.50848591230005,UK,English,2024-02-20T17:23:15Z,60.24096386
19461,CBA,2004-04-17,19.826414626143936,UK,English,2024-02-13T14:21:02Z,142.8571429
19475,CAB,1999-11-17,24.212250877348087,UK,English,2024-02-02T12:35:28Z,59.88023952
19480,CAB,2003-07-17,20.578817020907803,UK,English,2024-02-13T09:54:36Z,59.88023952
19489,ACB,2003-08-31,20.447761586812685,UK,English,2024-02-10T13:04:41Z,30.3030303
19492,ACB,2004-06-13,19.66854633042437,UK,English,2024-02-12T22:28:37Z,30.12048193
19493,CBA,2004-06-02,19.686251746837527,UK,English,2024-02-08T09:40:58Z,30.3030303
