participant,group,mean_rt__P_0,mean_rt__P_1,mean_rt__P_2,mean_rt__P_5,acc__P_0,acc__P_1,acc__P_2,acc__P_5,mean_rt__P_congruent,mean_rt__P_incongruent,mean_rt__P_neutral,acc__P_congruent,acc__P_incongruent,acc__P_neutral,mean_rt__M_1,mean_rt__M_2,mean_rt__M_5,acc__M_1,acc__M_2,acc__M_5,mean_rt__M_congruent,mean_rt__M_incongruent,mean_rt__M_neutral,acc__M_congruent,acc__M_incongruent,acc__M_neutral
18510,BAC,0.4665818181818182,0.47776,0.46025625,0.5170733333333334,91.66666666666666,93.75,100,93.75,0.4376391304347826,0.5313434782608696,0.4665818181818182,95.83333333333334,95.83333333333334,91.66666666666666,0.8402136363636363,0.7089681818181818,0.7570833333333333,91.66666666666666,91.66666666666666,100,0.7697625,0.8003190476190476,0.7378695652173913,100,87.5,95.83333333333334
18601,CBA,0.5199166666666667,0.5602857142857143,0.5222142857142857,0.5314166666666666,100,87.5,87.5,75,0.4950869565217391,0.596764705882353,0.5199166666666667,95.83333333333334,70.83333333333334,100,0.627625,0.5796363636363636,0.499375,100,91.66666666666666,100,0.5706666666666667,0.5925217391304348,0.5424347826086956,100,95.83333333333334,95.83333333333334
18824,ACB,0.6195,0.619625,0.6375625,0.6115714285714285,100,100,100,87.5,0.556375,0.6965454545454546,0.6195,100,91.66666666666666,100,0.62825,0.662375,0.6083333333333333,100,100,100,0.5795416666666666,0.6811666666666667,0.63825,100,100,100
18826,ACB,0.4569875,0.4579625,0.5828125000000001,0.47022,100,100,100,93.75,0.43107083333333335,0.5808695652173913,0.4569875,100,95.83333333333334,100,0.63984,0.5990875,0.5069041666666667,83.33333333333334,100,100,0.5593458333333333,0.5972428571428572,0.5814869565217391,100,87.5,95.83333333333334
18876,CBA,0.5284083333333334,0.5776,0.5222125,0.6281375,100,100,100,100,0.5483916666666666,0.603575,0.5284083333333334,100,100,100,0.6802208333333334,0.6299826086956521,0.6109458333333333,100,95.83333333333334,100,0.6135958333333333,0.6792130434782608,0.6303916666666667,100,95.83333333333334,100
18887,BAC,0.5421875,0.5888866666666667,0.5422875,0.50149375,100,93.75,100,100,0.5172208333333334,0.5704565217391304,0.5421875,100,95.83333333333334,100,0.7520142857142857,0.6904227272727272,0.6835583333333334,87.5,91.66666666666666,100,0.7256958333333333,0.70766,0.6877,100,83.33333333333334,95.83333333333334
19029,BCA,0.5699458333333334,0.678775,0.635425,0.64616875,100,100,100,100,0.5594625,0.74745,0.5699458333333334,100,100,100,0.6888583333333334,0.6212166666666666,0.5837125,100,100,100,0.6226833333333334,0.6570541666666667,0.61405,100,100,100
19114,ABC,0.5492,0.54816,0.5211,0.5557875,95.83333333333334,93.75,87.5,100,0.5200041666666667,0.5681095238095238,0.5492,100,87.5,95.83333333333334,0.5282761904761905,0.5175954545454545,0.47112608695652175,87.5,91.66666666666666,95.83333333333334,0.491,0.48282105263157893,0.5373565217391304,100,79.16666666666666,95.83333333333334
19116,ABC,0.590125,0.6353125,0.5365625,0.60675,100,100,100,100,0.544625,0.6411250000000001,0.590125,100,100,100,0.8860833333333333,0.7794782608695652,0.7370833333333333,100,95.83333333333334,100,0.7980833333333334,0.8541739130434782,0.7535,100,95.83333333333334,100
19124,ACB,0.6135454545454545,0.63344375,0.6411375,0.61106,91.66666666666666,100,100,93.75,0.6593666666666667,0.5971478260869565,0.6135454545454545,100,95.83333333333334,91.66666666666666,0.6828260869565217,0.6475541666666667,0.6636625,95.83333333333334,100,100,0.6557739130434782,0.6499083333333333,0.6872333333333334,95.83333333333334,100,100
19125,BAC,0.6473458333333333,0.62604,0.6715,0.6386333333333334,100,93.75,93.75,93.75,0.6075375,0.6886523809523809,0.6473458333333333,100,87.5,100,0.9005130434782609,0.7193541666666666,0.7081333333333334,95.83333333333334,100,100,0.7789916666666666,0.8213913043478261,0.7243208333333333,100,95.83333333333334,100
19127,BAC,0.7870173913043478,0.83419375,0.8506533333333334,0.95335,95.83333333333334,100,93.75,100,0.7251583333333333,1.0415956521739131,0.7870173913043478,100,95.83333333333334,95.83333333333334,0.9628045454545454,0.8763521739130434,0.7874125,91.66666666666666,95.83333333333334,100,0.7314333333333334,1.021342857142857,0.8847125,100,87.5,100
19135,BCA,0.6090875,0.5977875,0.5860375,0.608225,100,100,100,100,0.5948666666666667,0.5998333333333333,0.6090875,100,100,100,0.7666708333333333,0.770675,0.7807583333333333,100,100,100,0.7353708333333333,0.8141625,0.7685708333333333,100,100,100
19136,ABC,0.4496217391304348,0.46833125,0.42921333333333334,0.45820666666666665,95.83333333333334,100,93.75,93.75,0.4159291666666667,0.4919227272727273,0.4496217391304348,100,91.66666666666666,95.83333333333334,0.5525458333333333,0.5144333333333333,0.4791625,100,100,100,0.4803875,0.565025,0.5007291666666667,100,100,100
19137,BAC,0.51735,0.4784,0.5378333333333333,0.48433333333333334,83.33333333333334,93.75,75,75,0.5111052631578947,0.48655,0.51735,79.16666666666666,83.33333333333334,83.33333333333334,0.6206315789473684,0.6166111111111111,0.5572608695652174,79.16666666666666,75,95.83333333333334,0.5290952380952381,0.5826315789473684,0.67635,87.5,79.16666666666666,83.33333333333334
19140,CAB,0.5564041666666667,0.53939375,0.48099375,0.5965625,100,100,100,100,0.4877416666666667,0.590225,0.5564041666666667,100,100,100,0.842195652173913,0.9720043478260869,0.7333583333333333,95.83333333333334,95.83333333333334,100,0.9113333333333333,0.8650739130434782,0.7634130434782609,100,95.83333333333334,95.83333333333334
19146,CBA,0.6139173913043479,0.6914,0.6530333333333334,0.7112375,95.83333333333334,100,93.75,100,0.7214083333333333,0.6488652173913043,0.6139173913043479,100,95.83333333333334,95.83333333333334,0.9806708333333333,0.886975,0.8700666666666667,100,100,100,0.8104625,0.9261541666666667,1.0010958333333333,100,100,100
