participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
18510,BAC,0.9989,1,magnitude,8 | 6,2,incongruent
18510,BAC,0.5129,1,magnitude,6 | 1,5,neutral
18510,BAC,0.5489,1,magnitude,1 | 2,1,incongruent
18510,BAC,0.7525,1,magnitude,4 | 3,1,incongruent
18510,BAC,0.7819,1,magnitude,9 | 8,1,incongruent
18510,BAC,0.6114,1,magnitude,3 | 1,2,congruent
18510,BAC,0.5656,1,magnitude,7 | 9,2,neutral
18510,BAC,0.6636,1,magnitude,7 | 2,5,neutral
18510,BAC,0.5977,1,magnitude,3 | 4,1,neutral
18510,BAC,0.5173,1,magnitude,6 | 1,5,incongruent
18510,BAC,0.6306,1,magnitude,1 | 3,2,incongruent
18510,BAC,0.5358,1,magnitude,1 | 2,1,congruent
18510,BAC,0.6313,1,magnitude,6 | 8,2,congruent
18510,BAC,0.5193,1,magnitude,9 | 4,5,congruent
18510,BAC,0.7707,1,magnitude,4 | 9,5,neutral
18510,BAC,0.4851,0,magnitude,6 | 7,1,incongruent
18510,BAC,1.2312,1,magnitude,8 | 3,5,neutral
18510,BAC,0.8034,1,magnitude,1 | 6,5,congruent
18510,BAC,1.2361,1,magnitude,4 | 2,2,neutral
18510,BAC,0.8113,1,magnitude,4 | 9,5,incongruent
18510,BAC,0.8471,1,magnitude,1 | 6,5,neutral
18510,BAC,0.932,1,magnitude,3 | 4,1,congruent
18510,BAC,0.8061,1,magnitude,8 | 9,1,congruent
18510,BAC,0.6178,1,magnitude,3 | 8,5,neutral
18510,BAC,0.5162,1,magnitude,3 | 8,5,congruent
18510,BAC,0.7641,1,magnitude,2 | 4,2,neutral
18510,BAC,0.9654,1,magnitude,4 | 2,2,congruent
18510,BAC,1.4468,1,magnitude,7 | 6,1,incongruent
18510,BAC,1.1304,1,magnitude,6 | 8,2,incongruent
18510,BAC,0.7533,1,magnitude,9 | 4,5,neutral
18510,BAC,0.7467,1,magnitude,7 | 9,2,congruent
18510,BAC,1.1331,1,magnitude,9 | 8,1,neutral
18510,BAC,0.5829,1,magnitude,3 | 1,2,neutral
18510,BAC,0.9476,1,magnitude,7 | 6,1,congruent
18510,BAC,0.6307,1,magnitude,7 | 2,5,incongruent
18510,BAC,0.7473,1,magnitude,8 | 9,1,incongruent
18510,BAC,0.7981,1,magnitude,6 | 7,1,congruent
18510,BAC,0.8149,0,magnitude,2 | 4,2,incongruent
18510,BAC,1.6532,1,magnitude,4 | 9,5,congruent
18510,BAC,1.1877,1,magnitude,4 | 3,1,congruent
18510,BAC,0.7136,1,magnitude,4 | 3,1,neutral
