participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
10010,CAB,0.7946,1,physical,7 | 9,2,incongruent
10010,CAB,0.6618,1,physical,6 | 1,5,congruent
10010,CAB,0.4779,1,physical,4 | 2,2,congruent
10010,CAB,0.4457,1,physical,9 | 9,0,neutral
10010,CAB,0.4954,1,physical,2 | 4,2,incongruent
10010,CAB,1.0452,1,physical,3 | 1,2,congruent
10010,CAB,0.8689,1,physical,9 | 7,2,congruent
10010,CAB,1.3184,1,physical,8 | 8,0,neutral
10010,CAB,0.7892,1,physical,8 | 8,0,neutral
10010,CAB,0.5287,1,physical,2 | 2,0,neutral
10010,CAB,0.9291,1,physical,4 | 9,5,incongruent
10010,CAB,0.7811,1,physical,4 | 3,1,congruent
10010,CAB,0.4946,1,physical,9 | 4,5,congruent
10010,CAB,0.5944,1,physical,6 | 6,0,neutral
10010,CAB,0.4958,1,physical,8 | 3,5,incongruent
10010,CAB,0.5483,1,physical,4 | 9,5,congruent
10010,CAB,0.7128,1,physical,7 | 2,5,incongruent
10010,CAB,0.566,1,physical,1 | 2,1,congruent
10010,CAB,1.0025,1,physical,4 | 2,2,incongruent
10010,CAB,0.5956,1,physical,9 | 8,1,congruent
10010,CAB,0.6852,1,physical,8 | 9,1,incongruent
10010,CAB,0.545,1,physical,2 | 7,5,congruent
10010,CAB,0.5956,1,physical,1 | 3,2,congruent
10010,CAB,0.5618,1,physical,6 | 6,0,neutral
10010,CAB,0.6617,1,physical,3 | 3,0,neutral
10010,CAB,0.5956,1,physical,6 | 7,1,incongruent
10010,CAB,0.6785,1,physical,7 | 7,0,neutral
10010,CAB,0.4657,1,physical,4 | 4,0,neutral
10010,CAB,0.5618,1,physical,9 | 7,2,incongruent
10010,CAB,0.5618,1,physical,3 | 8,5,congruent
10010,CAB,0.4965,1,physical,1 | 6,5,congruent
10010,CAB,1.0957,1,physical,8 | 8,0,neutral
10010,CAB,0.5507,1,physical,3 | 4,1,congruent
10010,CAB,0.502,1,physical,7 | 7,0,neutral
10010,CAB,0.6303,1,physical,9 | 8,1,incongruent
10010,CAB,0.6023,1,physical,1 | 1,0,neutral
10010,CAB,0.432,1,physical,4 | 4,0,neutral
10010,CAB,0.8127,1,physical,7 | 9,2,congruent
10010,CAB,0.4785,1,physical,8 | 6,2,congruent
10010,CAB,0.4774,1,physical,2 | 4,2,congruent
10010,CAB,0.4812,1,physical,7 | 2,5,congruent
10010,CAB,0.5116,1,physical,2 | 7,5,incongruent
10010,CAB,0.4835,1,physical,4 | 3,1,incongruent
10010,CAB,0.5121,1,physical,3 | 3,0,neutral
10010,CAB,0.5348,1,physical,2 | 2,0,neutral
10010,CAB,0.5127,1,physical,7 | 6,1,congruent
10010,CAB,0.7786,1,physical,1 | 1,0,neutral
10010,CAB,0.5119,1,physical,2 | 1,1,incongruent
10010,CAB,0.5124,1,physical,1 | 2,1,incongruent
10010,CAB,0.5619,1,physical,7 | 7,0,neutral
10010,CAB,0.5673,1,physical,3 | 3,0,neutral
10010,CAB,0.5809,1,physical,8 | 3,5,congruent
10010,CAB,0.5111,1,physical,1 | 1,0,neutral
10010,CAB,0.6187,1,physical,9 | 9,0,neutral
10010,CAB,0.462,1,physical,8 | 6,2,incongruent
10010,CAB,0.5193,1,physical,1 | 6,5,incongruent
10010,CAB,1.0315,1,physical,3 | 4,1,incongruent
