participant,group,n_typing,median_typing,mean_typing,acc_typing,error_rate_typing
10010,CAB,61,1.3334,1.3543245901639345,98.38709677419355,0.016129032258064526
10011,BCA,60,1.06585,1.1694733333333334,96.7741935483871,0.032258064516129045
10012,CAB,2,4.2074,4.2074,3.225806451612903,0.967741935483871
10013,BCA,58,1.5856,1.6543086206896551,93.54838709677419,0.0645161290322581
10014,CAB,54,1.7342,1.8862277777777778,87.09677419354838,0.1290322580645162
10015,ACB,59,5.1402,5.557138983050847,95.16129032258065,0.04838709677419357
10016,BAC,58,1.4666000000000001,1.5728741379310345,93.54838709677419,0.06451612903225812
10017,CBA,61,13.2311,18.362477049213116,98.38709677419355,0.016129032258064526
10018,BAC,58,1.07455,1.1237724137931036,93.54838709677419,0.0645161290322581
10019,ACB,61,1.3843,1.3881606557377049,98.38709677419355,0.016129032258064526
10020,BCA,3,10.6752,25.579166666666666,4.838709677419355,0.9516129032258065
10021,ABC,60,1.375,1.50415,96.7741935483871,0.03225806451612905
10022,BCA,58,1.5147,1.5442,93.54838709677419,0.06451612903225809
10023,CBA,54,1.4484499999999998,1.745748148148148,87.09677419354838,0.12903225806451618
10024,BAC,52,2.0812999999999997,2.3280576923076923,83.87096774193549,0.16129032258064518
10025,ABC,59,1.1327,1.2448694915254237,95.16129032258065,0.04838709677419356
10026,BCA,60,1.3072,1.308065,96.7741935483871,0.03225806451612905
10027,CAB,60,1.20105,1.2855733333333335,96.7741935483871,0.03225806451612905
10028,CAB,60,1.5332999995,1.6535333333166666,96.7741935483871,0.03225806451612905
10029,CBA,58,1.27225,1.2634620689655172,93.54838709677419,0.06451612903225812
10030,BAC,61,2.5438,2.7802262295081968,98.38709677419355,0.016129032258064526
10031,BAC,60,1.2828499999999998,1.3190033333333333,96.7741935483871,0.032258064516129045
10032,BCA,60,1.7328,1.7984066666666667,96.7741935483871,0.03225806451612905
119238710566,CAB,60,1.1325500000000002,1.170375,96.7741935483871,0.03225806451612905
