participant,group,n_trial_correct,n_trial_lure,mean_rt_correct,mean_rt_lure,acc_veri,veri_performance
18510,BAC,73,68,0.35377397260273974,0.441489705882353,48.95833333333333,0.08771573327961324
18601,CBA,132,106,1.8177121212121212,2.257801886792453,82.63888888888889,0.44008976558033175
18824,ACB,138,102,0.9047028985507246,1.305313725490196,83.33333333333334,0.4006108269394715
18826,ACB,131,101,1.6703022900763358,2.3201584158415844,80.55555555555556,0.6498561257652486
18876,CBA,139,125,1.286759712230216,1.4781152,91.66666666666666,0.19135548776978406
18887,BAC,133,108,1.650242105263158,1.8209277777777777,83.68055555555556,0.17068567251461975
19029,BCA,142,132,1.9105507042253522,2.7095621212121213,95.13888888888889,0.799011416986769
19114,ABC,135,113,1.3204192592592592,1.5498699115044248,86.11111111111111,0.2294506522451656
19116,ABC,134,125,1.8498656716417912,2.153984,89.93055555555556,0.30411832835820873
19124,ACB,72,76,0.11745833333333333,0.343803947368421,51.388888888888886,0.22634561403508768
19125,BAC,140,135,2.079102142857143,2.6186177777777777,95.48611111111111,0.5395156349206349
19127,BAC,142,140,1.0597169014084507,1.1316478571428572,97.91666666666666,0.07193095573440655
19135,BCA,141,140,1.833972340425532,2.081117857142857,97.56944444444444,0.2471455167173251
19136,ABC,136,137,1.051927205882353,1.3566,94.79166666666666,0.30467279411764703
19137,BAC,108,124,1.840111111111111,2.229290322580645,80.55555555555556,0.38917921146953405
19140,CAB,125,132,4.0248616,5.170116666666667,89.23611111111111,1.1452550666666665
19146,CBA,125,119,2.4966176,2.8220521008403363,84.72222222222221,0.3254345008403363
19152,ACB,136,125,2.2611867647058825,2.895896,90.625,0.6347092352941175
19164,BAC,135,120,1.9182940740740742,2.44156,88.54166666666666,0.5232659259259258
19178,BAC,141,133,1.842068085106383,2.4388586466165414,95.13888888888889,0.5967905615101583
19179,CAB,139,125,1.418431654676259,1.983336,91.66666666666666,0.564904345323741
19180,BAC,135,108,1.6336,2.0227037037037037,84.375,0.38910370370370373
19188,CAB,123,105,1.4256626016260163,1.6901533333333334,79.16666666666666,0.2644907317073171
19193,CAB,102,123,2.8237647058823527,2.7707154471544713,78.125,-0.053049258727881465
19196,ABC,132,115,1.8861113636363636,2.2684365217391305,85.76388888888889,0.3823251581027669
19199,CAB,135,135,3.152331111111111,3.3704622222222222,93.75,0.21813111111111105
19205,CAB,140,122,2.362872142857143,3.3569639344262296,90.97222222222221,0.9940917915690868
19206,BAC,142,136,1.3281640845070422,1.476747794117647,96.52777777777779,0.14858370961060485
19210,ABC,124,134,1.5264112903225806,1.706518656716418,89.58333333333334,0.1801073663938373
19233,ACB,126,132,1.3529222222222221,1.8187719696969697,89.58333333333334,0.4658497474747476
19238,BCA,140,127,1.6067064285714285,2.011307874015748,92.70833333333334,0.40460144544431964
