participant,group,max_vpt,mean_vpt
18510,BAC,9,8.333333333333334
18601,CBA,5,4.333333333333333
18824,ACB,8,7.333333333333333
18826,ACB,10,9.333333333333334
18876,CBA,8,7.333333333333333
18887,BAC,9,8.333333333333334
19029,BCA,8,7.666666666666667
19114,ABC,10,9.333333333333334
19116,ABC,9,8.666666666666666
19124,ACB,9,8.333333333333334
19125,BAC,9,8.333333333333334
19127,BAC,9,8.333333333333334
19135,BCA,8,7.333333333333333
19136,ABC,10,9.666666666666666
19137,BAC,7,6.333333333333333
19140,CAB,7,6.333333333333333
19146,CBA,9,8.333333333333334
19152,ACB,8,8
19164,BAC,6,5.333333333333333
19178,BAC,10,10
19179,CAB,10,9.333333333333334
19180,BAC,10,10
19188,CAB,10,10
19193,CAB,7,6.333333333333333
19196,ABC,10,9.333333333333334
19199,CAB,7,6.666666666666667
19205,CAB,6,5.333333333333333
19206,BAC,10,9.666666666666666
19210,ABC,10,9.666666666666666
19233,ACB,8,7.333333333333333
19238,BCA,8,8
19248,CAB,7,6.333333333333333
19250,BCA,10,9.666666666666666
19263,ACB,8,8
19268,BCA,10,9.666666666666666
19269,ACB,10,9.666666666666666
19273,BAC,10,9.666666666666666
19281,CAB,8,7.333333333333333
19294,CAB,8,7.333333333333333
19298,CBA,7,6.333333333333333
19308,CBA,9,8.666666666666666
19310,ACB,8,8
19326,ABC,8,7.333333333333333
19355,BCA,10,9.333333333333334
19363,ACB,8,7.333333333333333
19374,BAC,8,7.333333333333333
19377,ABC,9,8.333333333333334
19377,CBA,3,2.3333333333333335
19391,ABC,10,9.333333333333334
19423,ABC,10,9.333333333333334
19424,CBA,8,7.333333333333333
19431,BCA,10,10
19456,CBA,8,7.333333333333333
19461,CBA,9,8.333333333333334
19475,CAB,10,9.333333333333334
19480,CAB,10,9.333333333333334
19489,ACB,8,7.666666666666667
19492,ACB,10,9.333333333333334
19493,CBA,7,7
19503,BCA,10,10
19506,BCA,10,9.333333333333334
19521,BCA,9,8.333333333333334
19525,CAB,9,9
19533,CBA,8,7.666666666666667
19542,ACB,8,7.333333333333333
19543,CAB,10,10
19550,BCA,10,9.333333333333334
19617,ABC,8,7.333333333333333
19631,CBA,10,10
19641,BAC,9,8.333333333333334
19694,CAB,10,9.666666666666666
19726,CBA,8,8
19757,ABC,10,10
19760,CBA,10,9.666666666666666
19767,CBA,9,8.666666666666666
19769,BCA,10,9.666666666666666
19777,CAB,9,8.666666666666666
19779,ACB,9,8.333333333333334
19790,ACB,9,8.333333333333334
19800,CBA,8,7.333333333333333
19803,BAC,10,10
19808,BCA,10,9.333333333333334
19814,ABC,10,9.333333333333334
19815,CAB,5,4.333333333333333
19817,ABC,10,9.666666666666666
19818,BCA,10,10
19821,CAB,10,9.333333333333334
19826,CAB,8,8
19829,BAC,7,6.333333333333333
19833,ACB,10,9.333333333333334
19835,CAB,9,8.333333333333334
19844,CBA,10,10
19854,CAB,10,9.666666666666666
19865,CAB,10,9.666666666666666
19873,BAC,8,7.333333333333333
19880,BCA,10,9.333333333333334
19882,ACB,10,9.666666666666666
19884,ABC,10,10
19890,ACB,8,8
19901,CBA,10,9.666666666666666
19905,ABC,8,7.333333333333333
19912,BAC,10,10
19922,ACB,10,9.333333333333334
19924,BAC,9,9
19928,BCA,10,9.666666666666666
19938,CBA,7,6.333333333333333
19945,ABC,9,8.333333333333334
19946,ABC,10,10
19951,BCA,8,7.333333333333333
19961,BCA,8,7.333333333333333
19966,CAB,6,5.333333333333333
19975,BCA,8,7.666666666666667
19984,ACB,6,5.333333333333333
19990,BCA,10,10
19992,ACB,8,7.333333333333333
20012,CAB,9,8.666666666666666
20024,ABC,9,8.333333333333334
20041,CAB,7,7
20046,BCA,8,7.333333333333333
20055,CBA,9,8.666666666666666
20067,BCA,10,10
20073,ABC,10,9.666666666666666
20084,CBA,10,9.333333333333334
20231,ABC,7,7
